mem_subtype,mem_size,read_energy_per_byte,write_energy_per_byte,area
main memory,46080000,1.1423920000000003e-12,4.2152800000000005e-11,1.225798e-06
main memory,39424000,1.0869640000000001e-12,3.6561360000000004e-11,1.157254e-06
main memory,6656000,5.887280000000001e-13,2.5533840000000005e-11,2.7908510000000006e-07
main memory,33024000,1.022692e-12,3.117816e-11,1.07541e-06
main memory,26368000,9.54544e-13,4.75008e-11,7.3073e-07
main memory,19712000,8.719400000000001e-13,3.634636e-11,6.623869e-07
main memory,13312000,7.582440000000001e-13,4.7738800000000007e-11,3.5531230000000005e-07
main memory,32768000,1.0205200000000002e-12,3.095892e-11,1.072736e-06
